new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail
135.000 ₫,155.000 ₫,13%,183,Kem Xả Dove Phục Hồi Hư Tổn Cho Tóc Chắc Khỏe (Mới) 610g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-xa-dove-phuc-hoi-hu-ton-cho-toc-chac-khoe-moi-610g-1650003974-1719903905_img_380x380_64adc6_fit_center.jpg
46.000 ₫,58.000 ₫,21%,12,"Kem Đánh Răng Perioe Total7 Trắng Răng, Hơi Thở Thơm Mát 120g",Total7 Intense Freezing Cooling Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-trang-rang-hoi-tho-thom-mat-120g-1719461271_img_380x380_64adc6_fit_center.jpg
46.000 ₫,58.000 ₫,21%,4,"Kem Đánh Răng Perioe Total7 Trắng Răng, Bảo Vệ Nướu 120g",Total7 Intense Refresh Cooling Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-trang-rang-bao-ve-nuou-120g-1719460588_img_380x380_64adc6_fit_center.jpg
46.000 ₫,58.000 ₫,21%,4,Kem Đánh Răng Perioe Total7 Hương Bạc Hà 120g,Total7 Intense Cleanmint Repair Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-huong-bac-ha-120g-1719459732_img_380x380_64adc6_fit_center.jpg
46.000 ₫,58.000 ₫,21%,3,Kem Đánh Răng Perioe Total7 Vị Nguyên Bản 120g,Total7 Intense Original Repair Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-vi-nguyen-ban-120g-1719459210_img_380x380_64adc6_fit_center.jpg
38.000 ₫,55.000 ₫,31%,,Kem Đánh Răng Perioe Ngăn Ngừa Sâu Răng 180g,Total Cavity Care,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211918-1689654947_img_380x380_64adc6_fit_center.jpg
531.000 ₫,715.000 ₫,26%,1.168,Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml (Bản Mới 2024),Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-duong-da-kiem-dau-60ml-moi_XKB1Gebm1b5Rkzrv_img_380x380_64adc6_fit_center.png
534.000 ₫,715.000 ₫,25%,854,Sữa Chống Nắng Anessa Cho Da Nhạy Cảm & Trẻ Em 60ml (Mới),Perfect UV Sunscreen Mild Milk (For Sensitive Skin) SPF50+/PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-cho-da-nhay-cam-tre-em-60ml-moi_FJzr11wusyMQHETs_img_380x380_64adc6_fit_center.png
429.000 ₫,575.000 ₫,25%,191,Gel Chống Nắng Anessa Dưỡng Ẩm Bảo Vệ Hoàn Hảo 90g (Mới),Perfect UV Sunscreen Skincare Gel N SPF50+/PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-anessa-duong-am-bao-ve-hoan-hao-90g-moi_YGrU14xaJyWtfmZq_img_380x380_64adc6_fit_center.png
456.000 ₫,575.000 ₫,21%,178,Gel Chống Nắng Anessa Dưỡng Sáng Nâng Tông 90g (Mới),Brightening Uv Sunscreen Gel N SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-anessa-duong-sang-nang-tong-90g-moi_BSXYMGEwKCYYKUhs_img_380x380_64adc6_fit_center.png
240.000 ₫,285.000 ₫,16%,241,Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 20ml (Mới),Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-duong-da-kiem-dau-20ml-moi_62L5Hp8SGfua5UWV_img_380x380_64adc6_fit_center.png
664.000 ₫,850.000 ₫,22%,52,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml,Day Serum SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-chong-nang-anessa-duong-da-nang-tong-30ml_63m4zmtGCnz8aqbE_img_380x380_64adc6_fit_center.png
802.000 ₫,1.000.000 ₫,20%,41,Combo 2 Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml+20ml (Bản Mới 2024),Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-chong-nang-anessa-duong-da-kiem-dau-60ml-20ml-moi_DkqhSyq1BcRY9zXU_img_380x380_64adc6_fit_center.png
234.000 ₫,390.000 ₫,40%,91,Bọt Rửa Mặt d program Giúp Làm Sạch Và Cung Cấp Ẩm Da 120g,Essence In Cleansing Foam,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422200367-1732764379_img_380x380_64adc6_fit_center.jpg
363.000 ₫,455.000 ₫,20%,48,Xịt Chống Nắng Anessa Dưỡng Da Đa Năng 60g (Mới),Perfect UV Sunscreen Skincare Spray N SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-xit-chong-nang-anessa-duong-da-da-nang-60g-moi_gUUwmLastynFasPE_img_380x380_64adc6_fit_center.png
487.000 ₫,750.000 ₫,35%,25,Kem Dưỡng d program Hỗ Trợ Phục Hồi Da 45g,Skin Repair Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208061-1732765959_img_380x380_64adc6_fit_center.jpg
